id,sol,cam_name,img_src,earth_date,rover_name,cat_foun
425029,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630680405165E02_DXXX.jpg,2015-05-30,Curiosity,N,
425030,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630680503628E01_DXXX.jpg,2015-05-30,Curiosity,N,
425031,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630670503627E01_DXXX.jpg,2015-05-30,Curiosity,N,
425032,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630670405164E01_DXXX.jpg,2015-05-30,Curiosity,N,
425033,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630660405163E01_DXXX.jpg,2015-05-30,Curiosity,N,
425034,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630660503626E01_DXXX.jpg,2015-05-30,Curiosity,N,
425035,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630650503625E02_DXXX.jpg,2015-05-30,Curiosity,N,
425036,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630650405162E01_DXXX.jpg,2015-05-30,Curiosity,N,
425037,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630640503624E02_DXXX.jpg,2015-05-30,Curiosity,N,
425038,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630640405161E01_DXXX.jpg,2015-05-30,Curiosity,N,
425039,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630630503623E02_DXXX.jpg,2015-05-30,Curiosity,N,
425040,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630630405160E01_DXXX.jpg,2015-05-30,Curiosity,N,
425041,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630620405159E01_DXXX.jpg,2015-05-30,Curiosity,N,
425042,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630620503622E01_DXXX.jpg,2015-05-30,Curiosity,N,
425043,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630610503621E02_DXXX.jpg,2015-05-30,Curiosity,N,
425044,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000ML0044630610405158E02_DXXX.jpg,2015-05-30,Curiosity,N,
425045,1000,MAST,http://mars.jpl.nasa.gov/msl-raw-images/msss/01000/mcam/1000MR0044630600503620E01_DXXX.jpg,2015-05-30,Curiosity,N,
